127.0.0.1, 2013-08-01 08:26:57, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.003009
127.0.0.1, 2013-08-01 08:26:57, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002267
127.0.0.1, 2013-08-01 08:26:57, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.009377
127.0.0.1, 2013-08-01 08:26:57, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003061
127.0.0.1, 2013-08-01 08:26:57, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003012
127.0.0.1, 2013-08-01 08:26:57, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.011462
127.0.0.1, 2013-08-01 08:26:57, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.010497
127.0.0.1, 2013-08-01 08:26:57, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.001505
127.0.0.1, 2013-08-01 08:26:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000429
127.0.0.1, 2013-08-01 08:26:59, POST, /admin/default/index, HTTP/1.1, 303, 0.079682
127.0.0.1, 2013-08-01 08:26:59, GET, /admin/default/ticket/grid/127.0.0.1.2013-08-01.08-26-27.329a79b8-c4f6-4911-8f2e-3f78a93654a6, HTTP/1.1, 200, 0.068454
127.0.0.1, 2013-08-01 08:26:59, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000894
127.0.0.1, 2013-08-01 08:26:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000423
127.0.0.1, 2013-08-01 08:27:22, GET, /grid/default/grid, HTTP/1.1, 200, 0.018942
127.0.0.1, 2013-08-01 08:27:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000456
127.0.0.1, 2013-08-01 08:27:35, GET, /grid/default/grid, HTTP/1.1, 200, 0.015537
127.0.0.1, 2013-08-01 08:27:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000423
127.0.0.1, 2013-08-01 08:34:17, GET, /grid/default/grid, HTTP/1.1, 200, 0.047441
127.0.0.1, 2013-08-01 08:34:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000404
127.0.0.1, 2013-08-01 08:34:33, GET, /grid/appadmin, HTTP/1.1, 200, 0.073026
127.0.0.1, 2013-08-01 08:34:47, GET, /grid/appadmin/select/db, HTTP/1.1, 200, 0.045656
127.0.0.1, 2013-08-01 08:35:30, GET, /grid/appadmin/insert/db/Grid, HTTP/1.1, 200, 0.057851
127.0.0.1, 2013-08-01 08:35:38, POST, /grid/appadmin/insert/db/Grid, HTTP/1.1, 200, 0.056726
127.0.0.1, 2013-08-01 08:35:42, GET, /grid/appadmin/select/db, HTTP/1.1, 200, 0.044878
127.0.0.1, 2013-08-01 08:37:51, GET, /grid/appadmin/index, HTTP/1.1, 200, 0.059107
127.0.0.1, 2013-08-01 08:38:05, GET, /grid/appadmin/index, HTTP/1.1, 200, 0.057726
127.0.0.1, 2013-08-01 08:42:48, GET, /grid/default/grid, HTTP/1.1, 500, 0.054041
127.0.0.1, 2013-08-01 08:42:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000406
127.0.0.1, 2013-08-01 08:42:50, GET, /admin/default/ticket/grid/127.0.0.1.2013-08-01.08-42-48.a574bb9e-200f-4fc1-acbf-89d159094b40, HTTP/1.1, 200, 0.051443
127.0.0.1, 2013-08-01 08:42:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000338
127.0.0.1, 2013-08-01 08:43:19, GET, /grid/default/grid, HTTP/1.1, 200, 0.019528
127.0.0.1, 2013-08-01 08:43:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000410
127.0.0.1, 2013-08-01 08:43:34, GET, /grid/appadmin/insert/db/grid, HTTP/1.1, 200, 0.047534
127.0.0.1, 2013-08-01 08:43:48, POST, /grid/appadmin/insert/db/grid, HTTP/1.1, 200, 0.067097
127.0.0.1, 2013-08-01 08:43:51, GET, /grid/default/grid, HTTP/1.1, 200, 0.028206
127.0.0.1, 2013-08-01 08:43:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000414
127.0.0.1, 2013-08-01 08:47:24, GET, /grid/default/grid, HTTP/1.1, 500, 0.066035
127.0.0.1, 2013-08-01 08:47:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000432
127.0.0.1, 2013-08-01 08:47:26, GET, /admin/default/ticket/grid/127.0.0.1.2013-08-01.08-47-24.c6dab0ef-2c8e-4295-8a94-0f5ca4eae305, HTTP/1.1, 200, 0.095417
127.0.0.1, 2013-08-01 08:47:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000421
127.0.0.1, 2013-08-01 08:47:35, GET, /grid/default/grid, HTTP/1.1, 200, 0.016377
127.0.0.1, 2013-08-01 08:47:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000326
127.0.0.1, 2013-08-01 08:49:31, GET, /grid/default/grid, HTTP/1.1, 500, 0.070024
127.0.0.1, 2013-08-01 08:49:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000381
127.0.0.1, 2013-08-01 08:49:33, GET, /admin/default/ticket/grid/127.0.0.1.2013-08-01.08-49-31.2b978403-0198-49d4-9cf0-c6a461a8d39b, HTTP/1.1, 200, 0.077727
127.0.0.1, 2013-08-01 08:49:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000409
127.0.0.1, 2013-08-01 08:49:58, GET, /grid/default/grid, HTTP/1.1, 500, 0.084155
127.0.0.1, 2013-08-01 08:49:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000385
127.0.0.1, 2013-08-01 08:50:00, GET, /admin/default/ticket/grid/127.0.0.1.2013-08-01.08-49-58.63199c99-37f3-4aac-9f6c-395821914f04, HTTP/1.1, 200, 0.071022
127.0.0.1, 2013-08-01 08:50:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000462
127.0.0.1, 2013-08-01 08:50:21, GET, /grid/default/grid, HTTP/1.1, 200, 0.019758
127.0.0.1, 2013-08-01 08:50:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000424
127.0.0.1, 2013-08-01 08:57:51, GET, /grid/default/grid, HTTP/1.1, 200, 0.026075
127.0.0.1, 2013-08-01 08:57:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000411
127.0.0.1, 2013-08-01 08:58:30, GET, /grid/default/grid, HTTP/1.1, 200, 0.032410
127.0.0.1, 2013-08-01 08:58:31, GET, /favicon.ico, HTTP/1.1, 400, 0.001003
127.0.0.1, 2013-08-01 09:02:16, GET, /grid/default/grid, HTTP/1.1, 200, 0.020967
127.0.0.1, 2013-08-01 09:02:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000423
127.0.0.1, 2013-08-01 09:04:01, GET, /grid/default/grid, HTTP/1.1, 200, 0.030689
127.0.0.1, 2013-08-01 09:04:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000776
127.0.0.1, 2013-08-01 09:04:08, GET, /grid/default/generateData, HTTP/1.1, 404, 0.019281
127.0.0.1, 2013-08-01 09:04:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000418
127.0.0.1, 2013-08-01 09:04:30, GET, /grid/default/grid, HTTP/1.1, 200, 0.027147
127.0.0.1, 2013-08-01 09:04:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000426
127.0.0.1, 2013-08-01 09:04:33, GET, /grid/default/grid, HTTP/1.1, 200, 0.023406
127.0.0.1, 2013-08-01 09:04:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000415
127.0.0.1, 2013-08-01 09:04:36, GET, /grid/default/generateData, HTTP/1.1, 200, 0.683983
127.0.0.1, 2013-08-01 09:04:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000606
127.0.0.1, 2013-08-01 09:04:39, GET, /grid/default/grid, HTTP/1.1, 200, 0.020098
127.0.0.1, 2013-08-01 09:04:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000409
127.0.0.1, 2013-08-01 09:07:24, GET, /grid/default/generateData, HTTP/1.1, 200, 0.105777
127.0.0.1, 2013-08-01 09:07:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000415
127.0.0.1, 2013-08-01 09:07:27, GET, /grid/default/grid, HTTP/1.1, 200, 0.024528
127.0.0.1, 2013-08-01 09:07:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000430
